"model_id","base_id","inference_type","confidence","inference_source"
"RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16","meta-llama/Llama-3.1-8B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-8B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w4a16' -> 'RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w4a16'"
"RedHatAI/starcoder2-15b-quantized.w8a8","bigcode/starcoder2-15b","quantized","high","openai_inference"
"RedHatAI/Llama-2-7b-evolcodealpaca","meta-llama/Llama-2-7b-hf","finetune","high","explicit_tag | base_model:finetune:meta-llama/Llama-2-7b-hf | validated: child_id 'neuralmagic/Llama-2-7b-evolcodealpaca' -> 'RedHatAI/Llama-2-7b-evolcodealpaca'"
"RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-quantized.w4a16","RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4","quantized","high","explicit_tag | base_model:quantized:RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4 | validated: child_id 'neuralmagic/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-quantized.w4a16' -> 'RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-quantized.w4a16'"
"RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8","meta-llama/Llama-3.1-70B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-70B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-70B-Instruct-quantized.w8a8' -> 'RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w8a8'"
"RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_70","RedHatAI/Llama-2-7b-pruned70-retrained","finetune","high","explicit_tag | base_model:finetune:RedHatAI/Llama-2-7b-pruned70-retrained | validated: child_id 'neuralmagic/Llama-2-7b-evol-code-alpaca-pruned_70' -> 'RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_70'"
"DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x","baidu/ERNIE-4.5-21B-A3B-Thinking","finetune","high","explicit_tag | base_model:finetune:baidu/ERNIE-4.5-21B-A3B-Thinking | validated: child_id 'DavidAU/ERNIE-4.5-36B-A3B-Thinking-Brainstorm20x' -> 'DavidAU/ERNIE-4.5-37B-A3B-Thinking-Brainstorm20x'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w4a16","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-7B-quantized.w4a16' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w4a16'"
"RedHatAI/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-8B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic' -> 'RedHatAI/DeepSeek-R1-Distill-Llama-8B-FP8-dynamic'"
"RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8","meta-llama/Llama-3.1-8B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-8B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-8B-Instruct-quantized.w8a8' -> 'RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8'"
"cyankiwi/Qwen3-4B-Thinking-2507-AWQ-4bit","Qwen/Qwen3-4B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-4B-Thinking-2507 | validated: child_id 'cpatonn/Qwen3-4B-Thinking-2507-AWQ' -> 'cyankiwi/Qwen3-4B-Thinking-2507-AWQ-4bit'"
"RedHatAI/granite-3.1-2b-base-FP8-dynamic","ibm-granite/granite-3.1-2b-base","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-2b-base | validated: child_id 'neuralmagic/granite-3.1-2b-base-FP8-dynamic' -> 'RedHatAI/granite-3.1-2b-base-FP8-dynamic'"
"RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4","RedHatAI/Sparse-Llama-3.1-8B-2of4","finetune","high","explicit_tag | base_model:finetune:RedHatAI/Sparse-Llama-3.1-8B-2of4 | validated: child_id 'neuralmagic/Sparse-Llama-3.1-8B-evolcodealpaca-2of4' -> 'RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4'"
"afx-team/UI-UG-7B-2601","Qwen/Qwen2.5-VL-7B-Instruct","finetune","high","explicit_tag | base_model:finetune:Qwen/Qwen2.5-VL-7B-Instruct | validated: child_id 'neovateai/UI-UG-7B-2601' -> 'afx-team/UI-UG-7B-2601'"
"nativemind/sphere_073_develop_coder","nativemind/shridhar_8k_multimodal","adapter","high","openai_inference"
"objview/Test_HF","Qwen/Qwen3-0.6B-Base","finetune","high","explicit_tag | base_model:finetune:Qwen/Qwen3-0.6B-Base | validated: child_id 'Hoooozier/Test_HF' -> 'objview/Test_HF'"
"RedHatAI/starcoder2-7b-quantized.w8a16","bigcode/starcoder2-7b","quantized","high","openai_inference"
"RedHatAI/granite-3.1-8b-base-quantized.w8a8","ibm-granite/granite-3.1-8b-base","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-8b-base | validated: child_id 'neuralmagic/granite-3.1-8b-base-quantized.w8a8' -> 'RedHatAI/granite-3.1-8b-base-quantized.w8a8'"
"ghananlpcommunity/opani-coder_1b-merged-16bit","meta-llama/Llama-3.2-1B-Instruct","finetune","high","explicit_tag | base_model:finetune:meta-llama/Llama-3.2-1B-Instruct | validated: child_id 'michsethowusu/opani-coder_1b-merged-16bit' -> 'ghananlpcommunity/opani-coder_1b-merged-16bit'"
"0xSero/MiniMax-M2.1-162B","MiniMaxAI/MiniMax-M2.1","quantized","high","explicit_tag | base_model:quantized:MiniMaxAI/MiniMax-M2.1 | validated: child_id '0xSero/MiniMax-M2.1-REAP-30' -> '0xSero/MiniMax-M2.1-162B'"
"0xSero/GLM-4.7-218B-W4A16","cerebras/GLM-4.7-REAP-218B-A32B","quantized","high","explicit_tag | base_model:quantized:cerebras/GLM-4.7-REAP-218B-A32B | validated: child_id '0xSero/GLM-4.7-REAP-218B-A32B-W4A16' -> '0xSero/GLM-4.7-218B-W4A16'"
"RedHatAI/granite-3.1-2b-instruct-FP8-dynamic","ibm-granite/granite-3.1-2b-instruct","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-2b-instruct | validated: child_id 'neuralmagic/granite-3.1-2b-instruct-FP8-dynamic' -> 'RedHatAI/granite-3.1-2b-instruct-FP8-dynamic'"
"Daemontatox/OR1-Behemoth","QuixiAI/Qwen3-72B-Embiggened","finetune","high","explicit_tag | base_model:finetune:QuixiAI/Qwen3-72B-Embiggened | validated: child_id 'Daemontatox/Overthinking-Rustacean-Behemoth' -> 'Daemontatox/OR1-Behemoth'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Qwen-14B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-14B-quantized.w8a8' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-14B-quantized.w8a8'"
"RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8","meta-llama/Llama-3.3-70B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.3-70B-Instruct | validated: child_id 'neuralmagic/Llama-3.3-70B-Instruct-quantized.w8a8' -> 'RedHatAI/Llama-3.3-70B-Instruct-quantized.w8a8'"
"anshulVashist/Qwen2.5-Vex-Python","unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit","finetune","high","openai_inference"
"anshulVashist/Qwen2.5-Vex-Python","unsloth/Qwen2.5-Coder-7B-Instruct-bnb-4bit","quantized","high","openai_inference"
"RESMP-DEV/LLaMutation-Qwen2.5-14B","Qwen/Qwen2.5-14B","finetune","high","explicit_tag | base_model:finetune:Qwen/Qwen2.5-14B | validated: child_id 'Kearm/LLaMutation-Qwen2.5-14B-SFFT-v0.0' -> 'RESMP-DEV/LLaMutation-Qwen2.5-14B'"
"RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16","meta-llama/Llama-3.1-70B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-70B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-70B-Instruct-quantized.w4a16' -> 'RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16'"
"RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic","meta-llama/Llama-3.1-8B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-8B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8-dynamic' -> 'RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8-dynamic'"
"RedHatAI/DeepSeek-R1-Distill-Llama-70B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Llama-70B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-70B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Llama-70B-FP8-dynamic' -> 'RedHatAI/DeepSeek-R1-Distill-Llama-70B-FP8-dynamic'"
"RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Llama-70B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Llama-70B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8' -> 'RedHatAI/DeepSeek-R1-Distill-Llama-70B-quantized.w8a8'"
"cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit","Qwen/Qwen3-Coder-30B-A3B-Instruct","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-Coder-30B-A3B-Instruct | validated: child_id 'cpatonn/Qwen3-Coder-30B-A3B-Instruct-AWQ' -> 'cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-7B-quantized.w8a8'"
"ExaltedSlayer/unsloth-phi-4-mlx-mxfp4","unsloth/phi-4","quantized","high","explicit_tag | base_model:quantized:unsloth/phi-4 | validated: child_id 'pivotraze/unsloth-phi-4-mlx-mxfp4' -> 'ExaltedSlayer/unsloth-phi-4-mlx-mxfp4'"
"RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-FP8-dynamic","RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4","quantized","high","explicit_tag | base_model:quantized:RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4 | validated: child_id 'neuralmagic/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-FP8-dynamic' -> 'RedHatAI/Sparse-Llama-3.1-8B-evolcodealpaca-2of4-FP8-dynamic'"
"CastIronMind/stentor_python_30m","StentorLabs/Stentor-30M","finetune","high","explicit_tag | base_model:finetune:StentorLabs/Stentor-30M | validated: child_id 'stas122/stentor_python_30m' -> 'CastIronMind/stentor_python_30m'"
"RedHatAI/granite-3.1-8b-base-quantized.w4a16","ibm-granite/granite-3.1-8b-base","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-8b-base | validated: child_id 'neuralmagic/granite-3.1-8b-base-quantized.w4a16' -> 'RedHatAI/granite-3.1-8b-base-quantized.w4a16'"
"0xSero/MiniMax-M2.1-139B","MiniMaxAI/MiniMax-M2.1","quantized","high","explicit_tag | base_model:quantized:MiniMaxAI/MiniMax-M2.1 | validated: child_id '0xSero/MiniMax-M2.1-REAP-40' -> '0xSero/MiniMax-M2.1-139B'"
"RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_50","RedHatAI/Llama-2-7b-pruned50-retrained","finetune","high","explicit_tag | base_model:finetune:RedHatAI/Llama-2-7b-pruned50-retrained | validated: child_id 'neuralmagic/Llama-2-7b-evol-code-alpaca-pruned_50' -> 'RedHatAI/Llama-2-7b-evol-code-alpaca-pruned_50'"
"QuixiAI/Devstral-Vision-Small-2507","mistralai/Devstral-Small-2507","finetune","high","explicit_tag | base_model:finetune:mistralai/Devstral-Small-2507 | validated: child_id 'cognitivecomputations/Devstral-Vision-Small-2507' -> 'QuixiAI/Devstral-Vision-Small-2507'"
"Loom-Labs/Daedalus-1-8B","ByteDance-Seed/Seed-Coder-8B-Reasoning","finetune","high","explicit_tag | base_model:finetune:ByteDance-Seed/Seed-Coder-8B-Reasoning | validated: child_id 'NoemaResearch/Daedalus-1-8B' -> 'Loom-Labs/Daedalus-1-8B'"
"RedHatAI/granite-3.1-8b-base-FP8-dynamic","ibm-granite/granite-3.1-8b-base","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-8b-base | validated: child_id 'neuralmagic/granite-3.1-8b-base-FP8-dynamic' -> 'RedHatAI/granite-3.1-8b-base-FP8-dynamic'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-7B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-7B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-7B-FP8-dynamic'"
"RedHatAI/starcoder2-3b-quantized.w8a16","bigcode/starcoder2-3b","quantized","high","openai_inference"
"RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-14B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-14B-FP8-dynamic'"
"ernie-research/TLDR-Gemma-2-27B-MA-PPO-Fixed5","google/gemma-2-27b","finetune","high","explicit_tag | base_model:finetune:google/gemma-2-27b | validated: child_id 'baidu/TLDR-Gemma-2-27B-MA-PPO-Fixed5' -> 'ernie-research/TLDR-Gemma-2-27B-MA-PPO-Fixed5'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16","deepseek-ai/DeepSeek-R1-Distill-Qwen-32B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-32B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w4a16'"
"RedHatAI/granite-3.1-8b-instruct-FP8-dynamic","ibm-granite/granite-3.1-8b-instruct","quantized","high","explicit_tag | base_model:quantized:ibm-granite/granite-3.1-8b-instruct | validated: child_id 'neuralmagic/granite-3.1-8b-instruct-FP8-dynamic' -> 'RedHatAI/granite-3.1-8b-instruct-FP8-dynamic'"
"cyankiwi/Qwen3-30B-A3B-Thinking-2507-AWQ-4bit","Qwen/Qwen3-30B-A3B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-30B-A3B-Thinking-2507 | validated: child_id 'cpatonn/Qwen3-30B-A3B-Thinking-2507-AWQ' -> 'cyankiwi/Qwen3-30B-A3B-Thinking-2507-AWQ-4bit'"
"RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16","meta-llama/Llama-3.1-405B-Instruct","quantized","high","explicit_tag | base_model:quantized:meta-llama/Llama-3.1-405B-Instruct | validated: child_id 'neuralmagic/Meta-Llama-3.1-405B-Instruct-quantized.w4a16' -> 'RedHatAI/Meta-Llama-3.1-405B-Instruct-quantized.w4a16'"
"khawarizmiai/Khawarizmi-SPI-MLP-8B","Qwen/Qwen3-8B","finetune","high","explicit_tag | base_model:finetune:Qwen/Qwen3-8B | validated: child_id 'KhawarizmiAi/Khawarizmi-SPI-MLP-8B' -> 'khawarizmiai/Khawarizmi-SPI-MLP-8B'"
"DavidAU/Qwen3-53B-A3B-2507-TOTAL-RECALL-v2-MASTER-CODER","Qwen/Qwen3-30B-A3B-Instruct-2507","finetune","high","explicit_tag | base_model:finetune:Qwen/Qwen3-30B-A3B-Instruct-2507 | validated: child_id 'DavidAU/Qwen3-55B-A3B-2507-TOTAL-RECALL-v2-MASTER-CODER' -> 'DavidAU/Qwen3-53B-A3B-2507-TOTAL-RECALL-v2-MASTER-CODER'"
"ernie-research/HH-RLHF-Gemma-2B-MA-PPO-Fixed5","google/gemma-2b","finetune","high","explicit_tag | base_model:finetune:google/gemma-2b | validated: child_id 'baidu/HH-RLHF-Gemma-2B-MA-PPO-Fixed5' -> 'ernie-research/HH-RLHF-Gemma-2B-MA-PPO-Fixed5'"
"RedHatAI/starcoder2-15b-quantized.w8a16","bigcode/starcoder2-15b","quantized","high","explicit_tag | base_model:quantized:bigcode/starcoder2-15b | validated: child_id 'neuralmagic/starcoder2-15b-quantized.w8a16' -> 'RedHatAI/starcoder2-15b-quantized.w8a16'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w8a8","deepseek-ai/DeepSeek-R1-Distill-Qwen-32B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-32B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-32B-quantized.w8a8' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-32B-quantized.w8a8'"
"HarleyCooper/nanochat561","Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice","finetune","high","explicit_card | cardData.base_model=custom; cardData.base_model_relation=finetune | validated: base_id 'custom' -> 'Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice'; child_id 'HarleyCooper/nanochat' -> 'HarleyCooper/nanochat561'"
"RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-FP8-dynamic","deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B","quantized","high","explicit_tag | base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B | validated: child_id 'neuralmagic/DeepSeek-R1-Distill-Qwen-1.5B-FP8-dynamic' -> 'RedHatAI/DeepSeek-R1-Distill-Qwen-1.5B-FP8-dynamic'"
"ExaltedSlayer/unsloth-Qwen3-30B-A3B-Thinking-2507-mlx-mxfp4","Qwen/Qwen3-30B-A3B-Thinking-2507","quantized","high","explicit_tag | base_model:quantized:Qwen/Qwen3-30B-A3B-Thinking-2507 | validated: child_id 'pivotraze/unsloth-Qwen3-30B-A3B-Thinking-2507-GGUF-mlx-mxfp4' -> 'ExaltedSlayer/unsloth-Qwen3-30B-A3B-Thinking-2507-mlx-mxfp4'"
"RedHatAI/starcoder2-3b-quantized.w8a8","bigcode/starcoder2-3b","quantized","high","openai_inference"
"zai-org/codegeex4-all-9b","zai-org/glm-4-9b","finetune","high","openai_inference"
